dealdate	totalPrice	unitPrice	square	count
2018-04	380	0	0	1
2018-04	316	0	0	1
2018-11	130	0	0	1
2019-03	378	0	0	1
2019-05	35	0	0	1
2019-03-19	20	6364	0	1
2020-05-04	23	7446	0	1
2016-04-14	28	8168	28	1
2019-05	26	8360	0	1
2019-10-08	27	8770	0	1
2019-11-12	27	8770	0	1
2020-03-18	27	8770	0	1
2020-11-13	28	8851	0	1
2019-01-09	27	8920	0	1
2018-09-11	28	8932	0	1
2018-06-10	27	8953	0	1
2018-07-23	27	8953	0	1
2018-09-11	27	8953	0	1
2020-04-11	27	8953	0	1
2020-07-11	27	9000	0	1
2019-08-24	28	9012	0	1
2017-01-19	28	9065	0	1
2018-11-04	28	9119	0	1
2019-07-12	29	9192	0	1
2016-11-23	29	9227	0	1
2019-11-13	28	9284	0	1
2018-06-26	29	9289	0	1
2018-06-13	28	9300	0	1
2018-05-07	30	9712	0	1
2019-04-23	30	9744	0	1
2017-03-03	32	10360	0	1
2019-08	33	10975	0	1
2020-01-18	34	11007	0	1
2019-08-25	34	11321	0	1
2019-03-19	35	11331	0	1
2020-04-12	35	11331	0	1
2018-01-28	34	11421	0	1
2018-09-13	36	11655	0	1
2019-07-28	38	12140	0	1
2015-12-31	370	29563	125	1
2016-02-29	365	30823	118	1
2015-11-18	295	31119	94	1
2016-02-27	280	31482	88	1
2016-03-13	400	32220	124	1
2016-01-25	280	32393	86	1
2016-04-08	458	33331	137	1
2015-12-27	198	34370	57	1
2016-02-28	403	34469	116	1
2016-02-20	435	34681	125	1
2018-08	314	34857	89	1
2016-01-30	319	35265	90	1
2016-01-25	308	35366	87	1
2016-03-23	317	35503	89	1
2016-01-31	206	35758	57	1
2019-02-27	317	35848	88	1
2016-03-05	328	36360	90	1
2016-03-06	332	36708	90	1
2016-01-09	318	36798	86	1
2016-03-08	331	36942	89	1
2016-03-01	218	37697	57	1
2016-05-02	340	37745	90	1
2016-03-13	342	38116	89	1
2016-03-27	220	38215	57	1
2016-05-29	477	38268	124	1
2016-05-24	345	38492	89	1
2016-06-05	356	38696	92	1
2016-05-29	350	38954	89	1
2016-07-29	493	39440	125	1
2016-06-01	360	39921	90	1
2016-03-15	348	39959	87	1
2019-12-10	475	40000	118	1
2016-02-28	360	40049	89	1
2016-05-15	346	40068	86	1
2016-05-30	360	40301	89	1
2016-05-02	466	40724	114	1
2018-01-09	367	40805	89	1
2016-05-22	510	40915	124	1
2018-11	333	41070	80	1
2017-10-26	352	41208	85	1
2020-08	366	41276	88	1
2016-05-29	240	41509	57	1
2016-05-09	372	41565	89	1
2016-06-20	244	41817	58	1
2016-06-17	243	41897	58	1
2018-01-03	377	41931	89	1
2018-01-19	348	42175	82	1
2020-11	344	42223	81	1
2016-08-23	528	42240	125	1
2016-07-20	379	42281	89	1
2016-06-12	244	42289	57	1
2017-12-17	378	42320	89	1
2016-05-22	248	42892	57	1
2020-10-18	385	42940	89	1
2017-10-04	354	43113	82	1
2018-01-16	388	43136	89	1
2017-12-14	378	43205	87	1
2020-12	357	43258	82	1
2019-12	352	43389	81	1
2017-12-31	276	43492	63	1
2018-03	392	43523	89	1
2017-12-24	374	43570	85	1
