dealdate	totalPrice	unitPrice	square	count
2016-05-07	391.1641	41713.6875	89.6094	128
2016-05-08	408.0255	42062.1529	96.3503	157
2016-05-09	460.1364	44755.7121	104.3939	66
2016-05-10	380.3919	42241.5541	94.6757	74
2016-05-11	479.4000	42935.6143	109.8286	70
2016-05-12	375.6739	41996.2174	87.7609	46
2016-05-13	536.5294	45467.0000	112.4314	51
2016-05-14	396.4375	42239.1797	90.5781	128
2016-05-15	375.2410	42707.2349	88.1928	166
2016-05-16	421.6104	41930.4545	97.8701	77
2016-05-17	409.1538	45216.0615	89.8000	65
2016-05-18	460.0938	45711.2500	101.4688	64
2016-05-19	380.9831	38262.8644	100.9492	59
2016-05-20	462.6885	43424.6885	103.5902	61
2016-05-21	395.0809	43058.1676	91.6590	173
2016-05-22	420.5059	42847.4824	94.3176	170
2016-05-23	431.5316	44724.7595	90.9873	79
2016-05-24	455.2286	43308.0429	107.1286	70
2016-05-25	460.2464	46116.3043	95.4348	69
2016-05-26	409.5926	43040.4259	92.9444	54
2016-05-27	437.0577	44133.3269	96.0962	52
2016-05-28	416.2131	42159.0574	97.8607	122
2016-05-29	400.0298	42140.9345	93.8810	168
2016-05-30	464.8519	47375.3704	97.1852	81
2016-05-31	419.2273	45047.4848	89.8030	66
2016-06	503.3410	45177.3464	108.5250	1478
2016-06-01	428.6557	46722.3279	87.4590	61
2016-06-02	413.4286	41625.1429	92.3929	56
2016-06-03	389.3509	42312.1404	90.5965	57
2016-06-04	396.1318	42342.0310	92.8217	129
2016-06-05	423.8947	43290.8158	96.1158	190
2016-06-06	355.0492	41869.9016	86.7705	61
2016-06-07	398.6667	41902.6863	90.7059	51
2016-06-08	412.9375	45214.4219	91.4688	64
2016-06-09	448.2713	44910.2171	97.6899	129
2016-06-10	370.3804	39439.3261	91.7826	92
2016-06-11	410.7484	42826.0503	97.9811	159
2016-06-12	444.2069	44236.7069	100.4397	116
2016-06-13	745.4000	52687.6000	135.0000	5
2016-06-15	509.6563	45825.1250	112.5313	32
2016-06-16	457.6933	42964.7067	101.8533	75
